2019-12-02 | 16:24:42 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:24:45 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:24:48 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:24:51 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:24:54 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:24:57 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:00 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:03 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:06 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:09 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:12 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:15 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:18 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:21 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:24 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:27 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:30 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:33 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
2019-12-02 | 16:25:36 | Message: Error. Module not operational. | Node ID: 1 | Fire Status: Error
